site_id,site_name,ACBR_ID,ACBR_Name
PERS,Persson Island,3,North-west Antarctic Peninsula
PIIS,Peter I Island,14,Ellsworth Land
PETE,Petermann Island,3,North-west Antarctic Peninsula
PSON,Peterson Bank,7,East Antarctica
PISL,Peterson Island,7,East Antarctica
PKUP,Pickup Point,3,North-west Antarctic Peninsula
PILL,Pillar Ridge,3,North-west Antarctic Peninsula
PING,Pinguino Island,3,North-west Antarctic Peninsula
PPPT,Pink Pool Point,3,North-west Antarctic Peninsula
PIRI,Pirie Peninsula,2,South Orkney Islands
PLAT,Plato Island (Platter Island),3,North-west Antarctic Peninsula
PLEN,Pleneau Island,3,North-west Antarctic Peninsula
PGEO,Point Geologie,13,Adelie Land
MART,Point Martin,2,South Orkney Islands
OBEL,Point Obelisk (James Ross Inland),1,North-east Antarctic Peninsula
PRAE,Point Rae,2,South Orkney Islands
PTHO,Point Thomas,3,North-west Antarctic Peninsula
WILD,Point Wild,3,North-west Antarctic Peninsula
PTWD,Point Wordie,3,North-west Antarctic Peninsula
POMO,Pomona Plateau Northwest coast,2,South Orkney Islands
POPT,Portal Point,3,North-west Antarctic Peninsula
PCHA,Port Charcot,3,North-west Antarctic Peninsula
PORT,Porteous Point,2,South Orkney Islands
LOCK,Port Lockroy,3,North-west Antarctic Peninsula
PMAR,Port Martin,13,Adelie Land
POSS,Possession Island,8,North Victoria Land
POPO,Pottinger Point,3,North-west Antarctic Peninsula
POWE,Powell Island,2,South Orkney Islands
PRES,President Head (Snow Island),3,North-west Antarctic Peninsula
PRIE,Priest Island (Peltier Channel),3,North-west Antarctic Peninsula
PRIM,Prime Head,3,North-west Antarctic Peninsula
PRIN,Principal Point,3,North-west Antarctic Peninsula
PROC,Proclamation Island,5,Enderby Land
NPRO,Promontories on north-central coast,3,North-west Antarctic Peninsula
PROS,Prospect Point,3,North-west Antarctic Peninsula
PURD,Purdy Point,2,South Orkney Islands
PYPT,Py Point,3,North-west Antarctic Peninsula
PYRI,Pyrites Island,3,North-west Antarctic Peninsula
QPTM,Quinton Point (middle),3,North-west Antarctic Peninsula
QPTN,Quinton Point (north),3,North-west Antarctic Peninsula
QPTS,Quinton Point (south),3,North-west Antarctic Peninsula
RAGN,Ragnhild,6,Dronning Maud Land
RAUE,Rauer Islands,7,East Antarctica
RAYN,Rayner Point,2,South Orkney Islands
REDI,Red Island,1,North-east Antarctic Peninsula
RRRI,Red Rock Ridge,3,North-west Antarctic Peninsula
RENI,Renier Point,3,North-west Antarctic Peninsula
RETU,Return Point,2,South Orkney Islands
RHYO,Rhyolite Island,4,Central south Antarctic Peninsula
RIDL,Ridley Island,3,North-west Antarctic Peninsula
RIIS,Riiser,6,Dronning Maud Land
RIPP,Rip Point,3,North-west Antarctic Peninsula
ROBB,Robbery Beaches,3,North-west Antarctic Peninsula
ROBE,Robert Point (Robert Island),3,North-west Antarctic Peninsula
RBSN,Robinson,16,Prince Charles Mountains
RONW,Robinson (northwest),16,Prince Charles Mountains
ROSE,Robinson (southeast),16,Prince Charles Mountains
RAND,Rocks near Andersson Island,3,North-west Antarctic Peninsula
ROME,Romeo Island,3,North-west Antarctic Peninsula
RONE,Ronge Island East,3,North-west Antarctic Peninsula
ROOK,Rookery Islands,16,Prince Charles Mountains
ROWE,Rowett Island,3,North-west Antarctic Peninsula
RUDM,Rudmose Rocks,2,South Orkney Islands
RUGG,Rugged Rocks,3,North-west Antarctic Peninsula
RUMP,Rumpa Island,5,Enderby Land
RUPE,Rupert Coast,12,Marie Byrd Land
RZEP,Rzepeki Islands,3,North-west Antarctic Peninsula
SABR,Sabrina Island,8,North Victoria Land
SAPT,Saddleback Point,3,North-west Antarctic Peninsula
SADD,Saddle Island,2,South Orkney Islands
SANA,Sanae,6,Dronning Maud Land
SAND,Sandefjord Bay,2,South Orkney Islands
SANE,San Eliado Point,3,North-west Antarctic Peninsula
SART,Sartorius Point,3,North-west Antarctic Peninsula
SAXU,Saxum Nunatak,3,North-west Antarctic Peninsula
SCUL,Scullin/Murray,16,Prince Charles Mountains
SEAL,Seal Islands,3,North-west Antarctic Peninsula
SEFB,SE Fisher Bay,13,Adelie Land
SELV,Selvick Cove,3,North-west Antarctic Peninsula
SENT,Sentry Rocks,8,North Victoria Land
SEPR,SE Promontory,13,Adelie Land
SERA,Serac Point,3,North-west Antarctic Peninsula
SHAC,Shackleton Ice Shelf,7,East Antarctica
SHIS,Shag Island,3,North-west Antarctic Peninsula
SHAG,Shagnasty Island,2,South Orkney Islands
SHEE,Sheelagh Islands,5,Enderby Land
SHEI,Shepard Island,12,Marie Byrd Land
SHEN,Sheppard Nunatak,3,North-west Antarctic Peninsula
SHEP,Sheppard Point,3,North-west Antarctic Peninsula
SHIL,Shilling Shelf,3,North-west Antarctic Peninsula
SHIN,Shingle Cove (Coronation Island),2,South Orkney Islands
SHLY,Shirley/Beall,7,East Antarctica
SHUM,Shumskiy Cove,3,North-west Antarctic Peninsula
SIFF,Siffrey Point,3,North-west Antarctic Peninsula
SIGA,Sigaren,5,Enderby Land
SIMS,Sims Island,15,South Antarctic Peninsula
SKIL,Skilling Island (north coast),2,South Orkney Islands
SKOT,Skottsberg Point,3,North-west Antarctic Peninsula
SMAL,Small Island,3,North-west Antarctic Peninsula
SEGI,Small island southeast on Gerlache Island,3,North-west Antarctic Peninsula
SMIG,Smiggers Island,3,North-west Antarctic Peninsula
SMTH,Smith,15,South Antarctic Peninsula
SMYL,Smyley,15,South Antarctic Peninsula
SNOW,Snow Hill Island,3,North-west Antarctic Peninsula
SOMI,South of Martin Islands,3,North-west Antarctic Peninsula
SOTH,South of Tay Head,1,North-east Antarctic Peninsula
SPBL,South Point Bluff,3,North-west Antarctic Peninsula
SPNW,South Point Bluff (northwest),3,North-west Antarctic Peninsula
SWIS,Southwest Island (Aviation Islands),13,Adelie Land
SPUI,Spence Harbour and unnamed island,2,South Orkney Islands
SPER,Spert Island,3,North-west Antarctic Peninsula
SPIG,Spigot Peak,3,North-west Antarctic Peninsula
SPIP,Spigot Peak Point,3,North-west Antarctic Peninsula
SPTR,Spigot Peak Tripod,3,North-west Antarctic Peninsula
SPRO,Spindrift Rocks,2,South Orkney Islands
SPIN,Spine Island (Coronation Island),2,South Orkney Islands
SPLI,Split Beach,3,North-west Antarctic Peninsula
SPRI,Sprightly Islands Vicinity,3,North-west Antarctic Peninsula
STAC,Stackpole Rocks,3,North-west Antarctic Peninsula
STCB,Stancomb,6,Dronning Maud Land
STAN,Stanton Continental Rock,16,Prince Charles Mountains
STUN,Stanton unnamed,16,Prince Charles Mountains
STEE,Steepholm Islands,2,South Orkney Islands
STEI,Steines Island,7,East Antarctica
STEN,Stene Point,2,South Orkney Islands
STER,Sterneck Island,3,North-west Antarctic Peninsula
STIG,Stigant Point,3,North-west Antarctic Peninsula
STOK,Stoker Island,3,North-west Antarctic Peninsula
STON,Stonington Island,3,North-west Antarctic Peninsula
STRA,Stranger Point,3,North-west Antarctic Peninsula
STUR,Sturge Island,8,North Victoria Land
SVEN,Sven Foyn Island,8,North Victoria Land
SVIS,Svenner Islands,7,East Antarctica
TART,Tartar Point,3,North-west Antarctic Peninsula
TAYH,Tay Head (Joinville Island),3,North-west Antarctic Peninsula
TAYG,Taylor Glacier,16,Prince Charles Mountains
TAYL,Taylor Point,3,North-west Antarctic Peninsula
TELE,Telefon Bay (Deception Is),3,North-west Antarctic Peninsula
TENM,Tenmondai Rock,5,Enderby Land
TETR,Tetrad Islands,3,North-west Antarctic Peninsula
GREE,The Green Glen,3,North-west Antarctic Peninsula
TTOE,The Toe,3,North-west Antarctic Peninsula
TTUR,The Turret,2,South Orkney Islands
THOR,Thorgaut,16,Prince Charles Mountains
TWGI,Three islands west of Gerlache Island,3,North-west Antarctic Peninsula
TSIS,Three Sisters,3,North-west Antarctic Peninsula
THUN,Thunder Bay,3,North-west Antarctic Peninsula
THUR,"Thurston Glacier, Mount Siple",12,Marie Byrd Land
TICK,Tickell Head,2,South Orkney Islands
TORG,Torgersen Island,3,North-west Antarctic Peninsula
TORI,Torinosu Cove,5,Enderby Land
TOWE,Tower Island (east),3,North-west Antarctic Peninsula
TOWW,Tower Island (west),3,North-west Antarctic Peninsula
TRIA,Triangle Point,3,North-west Antarctic Peninsula
TIEA,Trinity Island (east),3,North-west Antarctic Peninsula
TINW,Trinity Island (northwest),3,North-west Antarctic Peninsula
TISW,Trinity Island (southwest),3,North-west Antarctic Peninsula
TIWE,Trinity Island (west),3,North-west Antarctic Peninsula
TROW,Trowbridge Islands,3,North-west Antarctic Peninsula
TRUA,Truant Island,3,North-west Antarctic Peninsula
TRUN,Trundle Island,3,North-west Antarctic Peninsula
TRYN,Tryne Islands,7,East Antarctica
TUPI,Tupinier Island,3,North-west Antarctic Peninsula
TURR,Turret Point (King George Island),3,North-west Antarctic Peninsula
TXRX,Tuxen Rocks,3,North-west Antarctic Peninsula
TWIN,Twintits Stack,3,North-west Antarctic Peninsula
HUMM,Two Hummock Island,3,North-west Antarctic Peninsula
TPTN,Two points north of Cape Hooker,3,North-west Antarctic Peninsula
UCHA,Uchatka Point,3,North-west Antarctic Peninsula
UFSI,Ufs Island,16,Prince Charles Mountains
UMBE,Umbeashi,5,Enderby Land
UNGE,Unger Island (Unger Rock),8,North Victoria Land
UNN2,Unnamed 2,16,Prince Charles Mountains
UNN7,Unnamed 7,16,Prince Charles Mountains
UICW,Unnamed island off Cape Wallace,3,North-west Antarctic Peninsula
UIEL,Unnamed island off Elephant Point,3,North-west Antarctic Peninsula
UIPN,Unnamed Island PE 2 North,7,East Antarctica
SMAT,Unnamed islands (South of Matthews Island),2,South Orkney Islands
UIP1,Unnnamed Island PE 1,7,East Antarctica
UIP2,Unnnamed Island PE 2,7,East Antarctica
UIP3,Unnnamed Island PE 3,7,East Antarctica
URUG,Uruguay Island,3,North-west Antarctic Peninsula
USEF,Useful Island,3,North-west Antarctic Peninsula
VAIS,Valette Island,2,South Orkney Islands
VAPO,Vapour Col (Deception Island),3,North-west Antarctic Peninsula
VERN,Vernadsky Station,3,North-west Antarctic Peninsula
VESN,Vestfold North,7,East Antarctica
VESS,Vestfold South,7,East Antarctica
VIET,Vietor Rock,3,North-west Antarctic Peninsula
VRNW,Vietor Rock (northwest),3,North-west Antarctic Peninsula
VIEU,Vieugue Island,3,North-west Antarctic Peninsula
VIEW,View Point,1,North-east Antarctic Peninsula
VORT,Vortex Island,3,North-west Antarctic Peninsula
WALK,Walker Point,3,North-west Antarctic Peninsula
WATE,Waterboat Point,3,North-west Antarctic Peninsula
WPEC,Watson Peninsula (east coast),2,South Orkney Islands
WPWC,Watson Peninsula (west coast),2,South Orkney Islands
WATT,Watt Bay,13,Adelie Land
WAYA,Way Archipelago,13,Adelie Land
WEBB,Webb Island,3,North-west Antarctic Peninsula
WEDD,Weddell Island,2,South Orkney Islands
WEEK,Weeks Stack,3,North-west Antarctic Peninsula
WELC,Welcome Point,3,North-west Antarctic Peninsula
WELL,Weller Island,3,North-west Antarctic Peninsula
MOSS,West coast of Mossman Peninsula,2,South Orkney Islands
WSAD,West of Saddleback Point (Penguin Island),3,North-west Antarctic Peninsula
WHAL,Whalers Bay (Deception Is),3,North-west Antarctic Peninsula
WIDE,Wideopen Islands,3,North-west Antarctic Peninsula
WINW,Window Island,3,North-west Antarctic Peninsula
WINK,Winkle Island (two islets next to Winkle Island),3,North-west Antarctic Peninsula
WITH,Withem Island,3,North-west Antarctic Peninsula
WOOD,Wood Bay,8,North Victoria Land
WOOI,Wood Island,3,North-west Antarctic Peninsula
WORL,Worlds End,3,North-west Antarctic Peninsula
WOPT,Worley Point,12,Marie Byrd Land
WYAT,Wyatt Earp Islands,7,East Antarctica
YALO,Yalour Islands,3,North-west Antarctic Peninsula
YANK,Yankee Harbor,3,North-west Antarctic Peninsula
YOUN,Young Island,13,Adelie Land
YTRE,Ytrehovdeholmen,5,Enderby Land
ZAWA,Zawadski Stacks,3,North-west Antarctic Peninsula
ZEDI,Zed Island,3,North-west Antarctic Peninsula
ZIGZ,Zig Zag Island,3,North-west Antarctic Peninsula
